".rownames","t","y","estimate","Resid"
"R1",1,-0.47384789141098,-0.563183448191325,0.0893355567803445
"R1",2,-0.47384789141098,-0.582224527976255,0.108376636565275
"R1",3,-0.47384789141098,-0.555978700661175,0.0821308092501953
"R1",4,-0.47384789141098,-0.511609395210344,0.0377615037993639
"R1",5,-0.47384789141098,-0.491371379229723,0.0175234878187431
"R1",6,-0.47384789141098,-0.50738716840343,0.0335392769924501
"R1",7,-0.47384789141098,-0.55637088060348,0.0825229891924995
"R1",8,-0.47384789141098,-0.554826701791091,0.0809788103801112
"R1",9,-0.47384789141098,-0.521665649938585,0.0478177585276052
"R1",10,-0.47384789141098,-0.505365221194546,0.0315173297835656
"R1",11,-0.47384789141098,-0.49685055090966,0.0230026594986797
"R1",12,-0.47384789141098,-0.490457761245011,0.0166098698340304
"R1",13,-0.47384789141098,-0.491635391426894,0.0177875000159142
"R1",14,-0.47384789141098,-0.500386904567442,0.0265390131564618
"R1",15,-0.47384789141098,-0.504977535657695,0.0311296442467152
"R1",16,-0.47384789141098,-0.513058479405713,0.0392105879947325
"R1",17,-0.47384789141098,-0.63199471047028,0.158146819059299
"R1",18,-0.47384789141098,-0.575613976005866,0.101766084594885
"R1",19,-0.47384789141098,-0.546252913304747,0.0724050218937672
"R1",20,-0.47384789141098,-0.537734951149428,0.0638870597384482
"R1",21,-0.47384789141098,-0.513512686968753,0.0396647955577729
"R1",22,-0.47384789141098,-0.626691572966945,0.152843681555965
"R1",23,-0.47384789141098,-0.618840304922136,0.144992413511155
"R1",24,-0.47384789141098,-0.562231247613615,0.0883833562026348
"R1",25,-0.47384789141098,-0.52118430467949,0.0473364132685096
"R1",26,-0.47384789141098,-0.498614453708878,0.0247665622978979
"R1",27,-0.47384789141098,-0.503089678417504,0.0292417870065234
"R1",28,-0.47384789141098,-0.50024055821805,0.0263926668070696
"R1",29,-0.47384789141098,-0.530480684459953,0.0566327930489732
"R1",30,-0.47384789141098,-0.56751510342353,0.09366721201255
"R1",31,-0.47384789141098,-0.592073512236895,0.118225620825915
"R1",32,-0.47384789141098,-0.598886443299759,0.125038551888779
"R1",33,-0.47384789141098,-0.593472686923089,0.119624795512108
"R1",34,-0.47384789141098,-0.528648438171492,0.0548005467605121
"R1",35,-0.47384789141098,-0.479296132389854,0.00544824097887359
"R1",36,-0.47384789141098,-0.468317445187438,-0.00553044622354232
"R1",37,-0.47384789141098,-0.47525618476324,0.00140829335225956
"R1",38,-0.47384789141098,-0.500912388656179,0.0270644972451986
"R1",39,-0.47384789141098,-0.485529036225144,0.0116811448141637
"R1",40,-0.47384789141098,-0.488409774666229,0.0145618832552493
"R1",41,-0.47384789141098,-0.491950481282656,0.018102589871676
"R1",42,-0.47384789141098,-0.503997689118305,0.0301497977073247
"R1",43,-0.47384789141098,-0.498282286911448,0.0244343955004678
"R1",44,-0.47384789141098,-0.492030485208545,0.0181825937975647
"R1",45,-0.47384789141098,-0.500695970452998,0.0268480790420173
"R1",46,-0.47384789141098,-0.496360967796453,0.0225130763854727
"R1",47,-0.47384789141098,-0.479154472358849,0.00530658094786868
"R1",48,-0.47384789141098,-0.478007290452523,0.00415939904154294
"R1",49,-0.47384789141098,-0.489877214545295,0.0160293231343152
"R1",50,-0.47384789141098,-0.48764172625542,0.0137938348444394
"R1",51,-0.47384789141098,-0.483617975498185,0.00977008408720514
"R1",52,-0.47384789141098,-0.485227958699485,0.011380067288505
"R1",53,-0.47384789141098,-0.487522092124454,0.0136742007134739
"R1",54,-0.47384789141098,-0.497083021047638,0.0232351296366576
"R1",55,-0.47384789141098,-0.50825071030426,0.0344028188932793
"R1",56,-0.47384789141098,-0.485150634683994,0.0113027432730142
"R1",57,-0.47384789141098,-0.48405598917774,0.0102080977667598
"R1",58,-0.47384789141098,-0.461888312584881,-0.0119595788260992
"R1",59,-0.47384789141098,-0.451771897379175,-0.0220759940318057
"R1",60,-0.47384789141098,-0.445886726163846,-0.0279611652471346
"R1",61,-0.47384789141098,-0.454285243736362,-0.0195626476746186
"R1",62,-0.47384789141098,-0.450322645097364,-0.023525246313616
"R1",63,-0.47384789141098,-0.455832649974075,-0.0180152414369053
"R1",64,-0.47384789141098,-0.451800356748095,-0.0220475346628855
"R1",65,-0.47384789141098,-0.4311682009718,-0.0426796904391799
"R1",66,-0.47384789141098,-0.409206957411604,-0.064640933999376
"R1",67,-0.47384789141098,-0.405689171145005,-0.0681587202659752
"R1",68,-0.47384789141098,-0.413624799959573,-0.0602230914514076
"R1",69,-0.47384789141098,-0.420956084970063,-0.0528918064409175
"R1",70,-0.47384789141098,-0.420372545522459,-0.0534753458885214
"R1",71,-0.47384789141098,-0.426430966428815,-0.0474169249821654
"R1",72,-0.47384789141098,-0.445812266322378,-0.0280356250886024
"R1",73,-0.47384789141098,-0.465310401085079,-0.00853749032590145
"R1",74,-0.47384789141098,-0.484459618841589,0.010611727430609
"R1",75,-0.47384789141098,-0.474172041842952,0.000324150431972092
"R1",76,-0.47384789141098,-0.457473703330486,-0.0163741880804941
