"Date","DivName","MnDischarge_cfs"
2002-06-27,"BELCN",287.3125
2002-06-28,"BELCN",226
2002-06-29,"BELCN",213.854166666667
2002-06-30,"BELCN",238.6875
2002-07-01,"BELCN",252.020833333333
2002-07-02,"BELCN",249.375
2002-07-03,"BELCN",215.604166666667
2002-07-04,"BELCN",203.583333333333
2002-07-05,"BELCN",215.3125
2002-07-06,"BELCN",219.645833333333
2002-07-07,"BELCN",220.979166666667
2002-07-08,"BELCN",231.854166666667
2002-07-09,"BELCN",232.479166666667
2002-07-10,"BELCN",220.291666666667
2002-07-11,"BELCN",241.958333333333
2002-07-12,"BELCN",241.1875
2002-07-13,"BELCN",225.729166666667
2002-07-14,"BELCN",244.4375
2002-07-15,"BELCN",256.479166666667
2002-07-16,"BELCN",241.145833333333
2002-07-17,"BELCN",228.208333333333
2002-07-18,"BELCN",182.8125
2002-07-19,"BELCN",170.166666666667
2002-07-20,"BELCN",149.5625
2002-07-21,"BELCN",151.875
2002-07-22,"BELCN",187.233333333333
2002-07-23,"BELCN",177.071428571429
2002-07-24,"BELCN",161
2002-07-25,"BELCN",162.520833333333
2002-07-26,"BELCN",150.770833333333
2002-07-27,"BELCN",152.5
2002-07-28,"BELCN",146.666666666667
2002-07-29,"BELCN",122.125
2002-07-30,"BELCN",96.1875
2002-07-31,"BELCN",127.604166666667
2002-08-01,"BELCN",131.6875
2002-08-02,"BELCN",144.145833333333
2002-08-03,"BELCN",183.458333333333
2002-08-04,"BELCN",204.958333333333
2002-08-05,"BELCN",205.583333333333
2002-08-06,"BELCN",214.895833333333
2002-08-07,"BELCN",237.604166666667
2002-08-08,"BELCN",231.604166666667
2002-08-09,"BELCN",143.416666666667
2002-08-10,"BELCN",99.2708333333333
2002-08-11,"BELCN",55.2083333333333
2002-08-12,"BELCN",92.0416666666667
2002-08-13,"BELCN",133.6875
2002-08-14,"BELCN",182.333333333333
2002-08-15,"BELCN",203.416666666667
2002-08-16,"BELCN",216.488888888889
2002-08-17,"BELCN",201
2002-08-18,"BELCN",235.872340425532
2002-08-19,"BELCN",217.166666666667
2002-08-20,"BELCN",220.479166666667
2002-08-21,"BELCN",212.958333333333
2002-08-22,"BELCN",244.625
2002-08-23,"BELCN",236.266666666667
2002-08-24,"BELCN",215.871794871795
2002-08-25,"BELCN",216.895833333333
2002-08-26,"BELCN",222.416666666667
2002-08-27,"BELCN",217.520833333333
2002-08-28,"BELCN",233.875
2002-08-29,"BELCN",233.416666666667
2002-08-30,"BELCN",220.708333333333
2002-08-31,"BELCN",206.604166666667
2002-09-01,"BELCN",233.583333333333
2002-09-02,"BELCN",238.145833333333
2002-09-03,"BELCN",233.729166666667
2002-09-04,"BELCN",199.041666666667
2002-09-05,"BELCN",135.583333333333
2002-09-06,"BELCN",160.416666666667
2002-09-07,"BELCN",202
2002-09-08,"BELCN",216.541666666667
2002-09-09,"BELCN",219.071428571429
2002-09-10,"BELCN",NA
2002-09-11,"BELCN",NA
2002-09-12,"BELCN",149.222222222222
2002-09-13,"BELCN",58.5483870967742
2002-09-14,"BELCN",56.8958333333333
2002-09-15,"BELCN",47.2708333333333
2002-09-16,"BELCN",46.25
2002-09-17,"BELCN",55.2291666666667
2002-09-18,"BELCN",43.6041666666667
2002-09-19,"BELCN",42.5208333333333
2002-09-20,"BELCN",42
2002-09-21,"BELCN",42
2002-09-22,"BELCN",42
2002-09-23,"BELCN",32.4166666666667
2002-09-24,"BELCN",19
2002-09-25,"BELCN",19
2002-09-26,"BELCN",19
2002-09-27,"BELCN",19
2002-09-28,"BELCN",19
2002-09-29,"BELCN",19
2002-09-30,"BELCN",19
2002-10-01,"BELCN",19.75
2002-10-02,"BELCN",20.625
2002-10-03,"BELCN",20.4166666666667
2002-10-04,"BELCN",20
2002-10-05,"BELCN",20
