"Date","Reach","DownStreamSeg","RMTenthDry","Dry"
2019-08-23,"San Acacia",79.15,79.85,0
2019-08-23,"San Acacia",79.15,79.95,0
2019-08-23,"San Acacia",79.15,80.05,0
2019-08-23,"San Acacia",79.15,80.15,0
2019-08-23,"San Acacia",79.15,80.25,0
2019-08-23,"San Acacia",79.15,80.35,0
2019-08-23,"San Acacia",79.15,80.45,0
2019-08-23,"San Acacia",79.15,80.55,0
2019-08-23,"San Acacia",79.15,80.65,0
2019-08-23,"San Acacia",79.15,80.75,0
2019-08-23,"San Acacia",79.15,80.85,0
2019-08-24,"San Acacia",79.15,80.92,0
2019-08-24,"San Acacia",79.15,79.15,0
2019-08-24,"San Acacia",79.15,79.25,0
2019-08-24,"San Acacia",79.15,79.35,0
2019-08-24,"San Acacia",79.15,79.45,0
2019-08-24,"San Acacia",79.15,79.55,0
2019-08-24,"San Acacia",79.15,79.65,0
2019-08-24,"San Acacia",79.15,79.75,0
2019-08-24,"San Acacia",79.15,79.85,0
2019-08-24,"San Acacia",79.15,79.95,0
2019-08-24,"San Acacia",79.15,80.05,0
2019-08-24,"San Acacia",79.15,80.15,0
2019-08-24,"San Acacia",79.15,80.25,0
2019-08-24,"San Acacia",79.15,80.35,0
2019-08-24,"San Acacia",79.15,80.45,0
2019-08-24,"San Acacia",79.15,80.55,0
2019-08-24,"San Acacia",79.15,80.65,0
2019-08-24,"San Acacia",79.15,80.75,0
2019-08-24,"San Acacia",79.15,80.85,0
2019-08-25,"San Acacia",79.15,80.92,0
2019-08-25,"San Acacia",79.15,79.15,0
2019-08-25,"San Acacia",79.15,79.25,0
2019-08-25,"San Acacia",79.15,79.35,0
2019-08-25,"San Acacia",79.15,79.45,0
2019-08-25,"San Acacia",79.15,79.55,0
2019-08-25,"San Acacia",79.15,79.65,0
2019-08-25,"San Acacia",79.15,79.75,0
2019-08-25,"San Acacia",79.15,79.85,0
2019-08-25,"San Acacia",79.15,79.95,0
2019-08-25,"San Acacia",79.15,80.05,0
2019-08-25,"San Acacia",79.15,80.15,0
2019-08-25,"San Acacia",79.15,80.25,0
2019-08-25,"San Acacia",79.15,80.35,0
2019-08-25,"San Acacia",79.15,80.45,0
2019-08-25,"San Acacia",79.15,80.55,0
2019-08-25,"San Acacia",79.15,80.65,0
2019-08-25,"San Acacia",79.15,80.75,0
2019-08-25,"San Acacia",79.15,80.85,0
2019-08-26,"San Acacia",79.15,80.98,0
2019-08-26,"San Acacia",79.15,79.15,0
2019-08-26,"San Acacia",79.15,79.25,0
2019-08-26,"San Acacia",79.15,79.35,0
2019-08-26,"San Acacia",79.15,79.45,0
2019-08-26,"San Acacia",79.15,79.55,0
2019-08-26,"San Acacia",79.15,79.65,0
2019-08-26,"San Acacia",79.15,79.75,0
2019-08-26,"San Acacia",79.15,79.85,0
