"Date","DownStreamSeg","UpstreamSeg","RMTenthDry","Dry"
2020-06-12,152.79,154.13,152.79,0
2020-06-12,152.79,154.13,152.89,0
2020-06-12,152.79,154.13,152.99,0
2020-06-12,152.79,154.13,153.09,0
2020-06-12,152.79,154.13,153.19,0
2020-06-12,152.79,154.13,153.29,0
2020-06-12,152.79,154.13,153.39,0
2020-06-12,152.79,154.13,153.49,0
2020-06-12,152.79,154.13,153.59,0
2020-06-12,152.79,154.13,153.69,0
2020-06-12,152.79,154.13,153.79,0
2020-06-12,152.79,154.13,153.89,0
2020-06-12,152.79,154.13,153.99,0
2020-06-12,152.79,154.13,154.09,0
2020-06-13,152.51,155,152.51,0
2020-06-13,152.51,155,152.61,0
2020-06-13,152.51,155,152.71,0
2020-06-13,152.51,155,152.81,0
2020-06-13,152.51,155,152.91,0
2020-06-13,152.51,155,153.01,0
2020-06-13,152.51,155,153.11,0
2020-06-13,152.51,155,153.21,0
2020-06-13,152.51,155,153.31,0
2020-06-13,152.51,155,153.41,0
2020-06-13,152.51,155,153.51,0
2020-06-13,152.51,155,153.61,0
2020-06-13,152.51,155,153.71,0
2020-06-13,152.51,155,153.81,0
2020-06-13,152.51,155,153.91,0
2020-06-13,152.51,155,154.01,0
2020-06-13,152.51,155,154.11,0
2020-06-13,152.51,155,154.21,0
2020-06-13,152.51,155,154.31,0
2020-06-13,152.51,155,154.41,0
2020-06-13,152.51,155,154.51,0
2020-06-13,152.51,155,154.61,0
2020-06-13,152.51,155,154.71,0
2020-06-13,152.51,155,154.81,0
2020-06-13,152.51,155,154.91,0
2020-06-14,152.48,155.25,152.48,0
2020-06-14,152.48,155.25,152.58,0
2020-06-14,152.48,155.25,152.68,0
2020-06-14,152.48,155.25,152.78,0
2020-06-14,152.48,155.25,152.88,0
2020-06-14,152.48,155.25,152.98,0
2020-06-14,152.48,155.25,153.08,0
2020-06-14,152.48,155.25,153.18,0
2020-06-14,152.48,155.25,153.28,0
2020-06-14,152.48,155.25,153.38,0
2020-06-14,152.48,155.25,153.48,0
2020-06-14,152.48,155.25,153.58,0
2020-06-14,152.48,155.25,153.68,0
2020-06-14,152.48,155.25,153.78,0
2020-06-14,152.48,155.25,153.88,0
2020-06-14,152.48,155.25,153.98,0
2020-06-14,152.48,155.25,154.08,0
2020-06-14,152.48,155.25,154.18,0
2020-06-14,152.48,155.25,154.28,0
2020-06-14,152.48,155.25,154.38,0
2020-06-14,152.48,155.25,154.48,0
2020-06-14,152.48,155.25,154.58,0
2020-06-14,152.48,155.25,154.68,0
2020-06-14,152.48,155.25,154.78,0
2020-06-14,152.48,155.25,154.88,0
2020-06-14,152.48,155.25,154.98,0
2020-06-14,152.48,155.25,155.08,0
2020-06-14,152.48,155.25,155.18,0
2020-06-15,151.17,155.77,151.17,0
2020-06-15,151.17,155.77,151.27,0
2020-06-15,151.17,155.77,151.37,0
2020-06-15,151.17,155.77,151.47,0
2020-06-15,151.17,155.77,151.57,0
2020-06-15,151.17,155.77,151.67,0
2020-06-15,151.17,155.77,151.77,0
2020-06-15,151.17,155.77,151.87,0
2020-06-15,151.17,155.77,151.97,0
2020-06-15,151.17,155.77,152.07,0
2020-06-15,151.17,155.77,152.17,0
2020-06-15,151.17,155.77,152.27,0
2020-06-15,151.17,155.77,152.37,0
2020-06-15,151.17,155.77,152.47,0
2020-06-15,151.17,155.77,152.57,0
2020-06-15,151.17,155.77,152.67,0
2020-06-15,151.17,155.77,152.77,0
2020-06-15,151.17,155.77,152.87,0
2020-06-15,151.17,155.77,152.97,0
2020-06-15,151.17,155.77,153.07,0
2020-06-15,151.17,155.77,153.17,0
2020-06-15,151.17,155.77,153.27,0
2020-06-15,151.17,155.77,153.37,0
2020-06-15,151.17,155.77,153.47,0
2020-06-15,151.17,155.77,153.57,0
2020-06-15,151.17,155.77,153.67,0
2020-06-15,151.17,155.77,153.77,0
2020-06-15,151.17,155.77,153.87,0
2020-06-15,151.17,155.77,153.97,0
2020-06-15,151.17,155.77,154.07,0
2020-06-15,151.17,155.77,154.17,0
2020-06-15,151.17,155.77,154.27,0
2020-06-15,151.17,155.77,154.37,0
2020-06-15,151.17,155.77,154.47,0
2020-06-15,151.17,155.77,154.57,0
2020-06-15,151.17,155.77,154.67,0
2020-06-15,151.17,155.77,154.77,0
2020-06-15,151.17,155.77,154.87,0
2020-06-15,151.17,155.77,154.97,0
2020-06-15,151.17,155.77,155.07,0
2020-06-15,151.17,155.77,155.17,0
2020-06-15,151.17,155.77,155.27,0
2020-06-15,151.17,155.77,155.37,0
2020-06-15,151.17,155.77,155.47,0
2020-06-15,151.17,155.77,155.57,0
2020-06-15,151.17,155.77,155.67,0
2020-06-15,151.17,155.77,155.77,0
2020-06-16,152.17,156,152.17,0
2020-06-16,152.17,156,152.27,0
2020-06-16,152.17,156,152.37,0
2020-06-16,152.17,156,152.47,0
2020-06-16,152.17,156,152.57,0
2020-06-16,152.17,156,152.67,0
2020-06-16,152.17,156,152.77,0
2020-06-16,152.17,156,152.87,0
2020-06-16,152.17,156,152.97,0
2020-06-16,152.17,156,153.07,0
2020-06-16,152.17,156,153.17,0
2020-06-16,152.17,156,153.27,0
2020-06-16,152.17,156,153.37,0
2020-06-16,152.17,156,153.47,0
2020-06-16,152.17,156,153.57,0
2020-06-16,152.17,156,153.67,0
2020-06-16,152.17,156,153.77,0
2020-06-16,152.17,156,153.87,0
2020-06-16,152.17,156,153.97,0
2020-06-16,152.17,156,154.07,0
2020-06-16,152.17,156,154.17,0
2020-06-16,152.17,156,154.27,0
2020-06-16,152.17,156,154.37,0
2020-06-16,152.17,156,154.47,0
2020-06-16,152.17,156,154.57,0
2020-06-16,152.17,156,154.67,0
2020-06-16,152.17,156,154.77,0
2020-06-16,152.17,156,154.87,0
2020-06-16,152.17,156,154.97,0
2020-06-16,152.17,156,155.07,0
2020-06-16,152.17,156,155.17,0
2020-06-16,152.17,156,155.27,0
2020-06-16,152.17,156,155.37,0
2020-06-16,152.17,156,155.47,0
2020-06-16,152.17,156,155.57,0
2020-06-16,152.17,156,155.67,0
2020-06-16,152.17,156,155.77,0
2020-06-16,152.17,156,155.87,0
2020-06-16,152.17,156,155.97,0
2020-06-17,152.1,156.1,152.1,0
2020-06-17,152.1,156.1,152.2,0
2020-06-17,152.1,156.1,152.3,0
2020-06-17,152.1,156.1,152.4,0
2020-06-17,152.1,156.1,152.5,0
2020-06-17,152.1,156.1,152.6,0
2020-06-17,152.1,156.1,152.7,0
2020-06-17,152.1,156.1,152.8,0
2020-06-17,152.1,156.1,152.9,0
2020-06-17,152.1,156.1,153,0
2020-06-17,152.1,156.1,153.1,0
2020-06-17,152.1,156.1,153.2,0
2020-06-17,152.1,156.1,153.3,0
2020-06-17,152.1,156.1,153.4,0
2020-06-17,152.1,156.1,153.5,0
2020-06-17,152.1,156.1,153.6,0
2020-06-17,152.1,156.1,153.7,0
2020-06-17,152.1,156.1,153.8,0
2020-06-17,152.1,156.1,153.9,0
2020-06-17,152.1,156.1,154,0
2020-06-17,152.1,156.1,154.1,0
2020-06-17,152.1,156.1,154.2,0
2020-06-17,152.1,156.1,154.3,0
2020-06-17,152.1,156.1,154.4,0
2020-06-17,152.1,156.1,154.5,0
2020-06-17,152.1,156.1,154.6,0
2020-06-17,152.1,156.1,154.7,0
2020-06-17,152.1,156.1,154.8,0
2020-06-17,152.1,156.1,154.9,0
2020-06-17,152.1,156.1,155,0
2020-06-17,152.1,156.1,155.1,0
2020-06-17,152.1,156.1,155.2,0
2020-06-17,152.1,156.1,155.3,0
2020-06-17,152.1,156.1,155.4,0
2020-06-17,152.1,156.1,155.5,0
2020-06-17,152.1,156.1,155.6,0
2020-06-17,152.1,156.1,155.7,0
