"Date","MileDays","PrecipCum_mm","TempCum_C","DischargeCum_cfs","DiversionCum_cfs","ReturnsCum_cfs","Reach"
2010-04-01,0,33.02,1228.305,64720,10119.94,48.0666666666666,"R1"
2010-04-02,0,33.02,1246.635,65631,10597.73,48.0666666666666,"R1"
2010-04-03,0,33.02,1261.075,66550,11082.4,48.0666666666666,"R1"
2010-04-04,0,33.02,1284.965,67460,11563.17,49.8583333333333,"R1"
2010-04-05,0,33.02,1310.525,68352,12035.36,61.6916666666666,"R1"
2010-04-06,0,33.02,1338.305,69317,12414.44,65.6916666666666,"R1"
2010-04-07,0,33.02,1355.525,70317,12824.35,65.6916666666666,"R1"
2010-04-08,0,33.02,1372.195,71250,13302.33,65.6916666666666,"R1"
2010-04-09,0,33.02,1392.755,72162,13775,65.6916666666666,"R1"
2010-04-10,0,33.02,1418.315,73043,14258.19,65.6916666666666,"R1"
2010-04-11,0,33.02,1444.985,73891,14749.96,65.6916666666666,"R1"
2010-04-12,0,33.02,1471.655,74782,15256.13,66.025,"R1"
2010-04-13,0,33.02,1499.435,75912,15738.26,66.025,"R1"
2010-04-14,0,33.02,1525.545,77592,16200.92,66.025,"R1"
2010-04-15,0,33.02,1551.655,79532,16660.11,66.4833333333333,"R1"
2010-04-16,0,33.02,1578.875,81912,17173.9,70.0666666666666,"R1"
2010-04-17,0,43.69,1605.545,84692,17703.42,76.275,"R1"
2010-04-18,0,43.69,1624.985,87422,18217.44,78.9771276595744,"R1"
2010-04-19,0,43.69,1648.875,89602,18701.21,81.9771276595744,"R1"
2010-04-20,0,44.45,1671.655,91492,19198.04,101.956294326241,"R1"
2010-04-21,0,44.45,1697.215,93872,19648.6,102.164627659574,"R1"
2010-04-22,0,46.23,1722.775,96772,20088.2,110.289627659574,"R1"
2010-04-23,0,50.8,1736.105,99572,20518.66,113.060460992908,"R1"
2010-04-24,0,50.8,1752.215,102092,20922.83,113.518794326241,"R1"
2010-04-25,0,50.8,1774.435,104662,21323.5,115.435460992908,"R1"
2010-04-26,0,50.8,1799.995,107262,21681.42,118.331294326241,"R1"
2010-04-27,0,50.8,1826.105,109392,22112.96,118.331294326241,"R1"
2010-04-28,0,50.8,1851.665,111252,22565.21,118.331294326241,"R1"
2010-04-29,0,50.8,1879.445,113022,23050.38,118.477127659574,"R1"
2010-04-30,0,50.8,1904.445,114712,23559.78,118.477127659574,"R1"
2010-05-01,0,50.8,1918.885,116332,24062.51,123.102127659574,"R1"
2010-05-02,0,50.8,1936.105,117962,24558.36,133.727127659574,"R1"
2010-05-03,0,53.34,1948.325,119662,25041.74,145.372960992908,"R1"
2010-05-04,0,53.34,1971.105,121662,25528.49,153.560460992908,"R1"
2010-05-05,0,53.34,1999.995,123662,25988.89,159.164627659574,"R1"
2010-05-06,0,53.34,2031.665,125402,26481.45,159.164627659574,"R1"
2010-05-07,0,53.34,2063.335,127152,26974.24,159.872960992908,"R1"
2010-05-08,0,53.34,2089.445,128932,27475.37,159.872960992908,"R1"
2010-05-09,0,53.34,2116.115,130762,27982.35,161.831294326241,"R1"
2010-05-10,0,53.34,2147.225,132692,28465.79,161.872960992908,"R1"
2010-05-11,0,53.34,2173.335,134992,28922.33,161.872960992908,"R1"
2010-05-12,0,53.34,2201.665,137252,29377.48,161.872960992908,"R1"
2010-05-13,0,53.34,2223.335,139072,29745.71,162.268794326241,"R1"
2010-05-14,0,53.34,2247.775,140662,30191.25,166.268794326241,"R1"
2010-05-15,0,53.34,2274.445,142032,30684.98,172.018794326241,"R1"
2010-05-16,0,53.34,2300.005,143372,31178.38,178.602127659574,"R1"
2010-05-17,0,53.34,2328.335,144712,31705.71,213.060460992908,"R1"
2010-05-18,0,53.34,2358.895,146032,32243.91,222.651370083817,"R1"
2010-05-19,0,53.34,2387.225,147802,32793.95,229.068036750483,"R1"
2010-05-20,0,53.34,2414.445,149862,33334.78,229.92220341715,"R1"
2010-05-21,0,53.34,2445.555,153132,33873.95,229.92220341715,"R1"
2010-05-22,0,53.34,2478.335,157542,34381.78,230.713870083817,"R1"
2010-05-23,0,53.34,2510.555,162702,34845.28,322.088870083817,"R1"
2010-05-24,0,53.34,2539.995,168032,35159.51,409.318036750483,"R1"
2010-05-25,0,53.34,2562.215,172652,35554.39,414.401370083817,"R1"
2010-05-26,0,53.34,2591.105,176042,36024.33,415.60970341715,"R1"
2010-05-27,0,53.34,2622.775,178362,36514.95,420.338870083817,"R1"
2010-05-28,0,54.61,2656.105,180372,37017.37,426.276370083817,"R1"
2010-05-29,0,54.61,2688.325,182272,37523.16,453.963870083817,"R1"
2010-05-30,0,54.61,2722.215,183922,38018.33,453.963870083817,"R1"
2010-05-31,0,54.61,2754.435,185522,38523.46,454.23470341715,"R1"
2010-06-01,0,54.61,2788.325,187342,39022.56,459.663274845722,"R1"
2010-06-02,0,54.61,2821.655,189302,39528.11,459.663274845722,"R1"
2010-06-03,0,54.61,2853.875,191122,40040.11,459.663274845722,"R1"
2010-06-04,0,54.61,2888.875,192802,40548.59,459.663274845722,"R1"
2010-06-05,0,54.61,2926.095,194442,41069.51,459.663274845722,"R1"
2010-06-06,0,54.61,2965.535,196082,41587.7,459.663274845722,"R1"
2010-06-07,0,54.61,3006.095,197752,42122.6,459.663274845722,"R1"
2010-06-08,0,54.61,3043.875,199292,42673.08,460.475774845722,"R1"
2010-06-09,0,54.61,3082.205,200602,43249.77,460.475774845722,"R1"
2010-06-10,0,54.61,3120.535,201772,43836.79,460.788274845722,"R1"
2010-06-11,0,54.61,3157.205,202902,44428.73,462.454941512388,"R1"
2010-06-12,0,54.61,3190.535,203972,45019.96,462.454941512388,"R1"
2010-06-13,0,54.61,3220.535,204821,45606.44,475.871608179055,"R1"
2010-06-14,0,54.61,3249.975,205437,46174.69,476.767441512388,"R1"
2010-06-15,0,54.61,3281.085,205871,46736.63,476.767441512388,"R1"
2010-06-16,0,54.61,3314.415,206220,47251.65,476.767441512388,"R1"
