"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1","Reach"
2018-12-11,2018,"Dec",12,11,5.6,0,0.7,4.9,0,0,5.6,4.5,3.2,58237.7,"6"
2018-12-10,2018,"Dec",12,10,5.6,0,0.7,4.9,0,0,5.6,4.5,3.2,58226.6,"6"
2018-12-09,2018,"Dec",12,9,4.9,0,0.6,4.3,0,0,4.9,4.3,3.1,58215.6,"6"
2018-12-08,2018,"Dec",12,8,4.9,0,0.6,4.3,0,2.1,2.8,4.3,3.4,58205.9,"6"
2018-12-07,2018,"Dec",12,7,3.5,0,0.4,3,0,0,3.5,4.5,3.9,58200.4,"6"
2018-12-06,2018,"Dec",12,6,5.6,0,0.7,4.9,0,0,5.6,2,4.1,58193.5,"6"
2018-12-05,2018,"Dec",12,5,4.9,0,0.6,4.3,0,0,4.9,2,4.1,58182.5,"6"
2018-12-04,2018,"Dec",12,4,4.9,0,0.6,4.3,0,0,4.9,2,4.1,58172.8,"6"
2018-12-03,2018,"Dec",12,3,3.5,0,0.4,3,0,0,3.5,2.5,4.4,58163.1,"6"
2018-12-02,2018,"Dec",12,2,4.9,0,0.6,4.3,0,13.6,-8.7,3.4,4.7,58156.3,"6"
2018-12-01,2018,"Dec",12,1,5.6,0,0.7,4.9,0,0,5.5,6.2,6.2,58173.5,"6"
2018-11-30,2018,"Nov",11,30,4.9,0,0.6,4.3,0,0.3,4.6,6.2,6.3,58162.5,"6"
2018-11-29,2018,"Nov",11,29,7.7,0,1,6.7,0,0,7.7,6.3,6.4,58153.4,"6"
2018-11-28,2018,"Nov",11,28,7.7,0,1,6.7,0,0,7.7,6.3,6.3,58138.1,"6"
2018-11-27,2018,"Nov",11,27,5.6,0,0.7,4.9,0,0,5.6,6,6.3,58122.9,"6"
2018-11-26,2018,"Nov",11,26,5.6,0,0.7,4.9,0,0,5.6,6.1,6.4,58111.9,"6"
2018-11-25,2018,"Nov",11,25,4.9,0,0.6,4.3,0,0,4.9,6.3,6.6,58100.9,"6"
2018-11-24,2018,"Nov",11,24,7.7,0,1,6.7,0,0,7.7,6.6,6.8,58091.2,"6"
2018-11-23,2018,"Nov",11,23,6.3,0,0.8,5.5,0,0,6.3,6.3,6.8,58075.9,"6"
2018-11-22,2018,"Nov",11,22,6.3,0,0.8,5.5,0,0,6.3,6.6,7.7,58063.5,"6"
2018-11-21,2018,"Nov",11,21,6.3,0,0.8,5.5,0,0,6.3,6.6,3.9,58051.1,"6"
2018-11-20,2018,"Nov",11,20,6.3,0,0.8,5.4,0,0,6.3,7,4.1,58038.6,"6"
2018-11-19,2018,"Nov",11,19,6.3,0,0.8,5.5,0,0,6.3,7,6.8,58026.2,"6"
2018-11-18,2018,"Nov",11,18,7.7,0,1,6.7,0,0,7.7,7.3,9.5,58013.8,"6"
2018-11-17,2018,"Nov",11,17,6.3,0,0.8,5.5,0,0,6.3,8.8,13.6,57998.6,"6"
2018-11-16,2018,"Nov",11,16,8.4,0,1.1,7.3,0,0,8.4,1.3,17.8,57986.2,"6"
2018-11-15,2018,"Nov",11,15,6.3,0,0.8,5.5,0,0,6.3,1.3,22.5,57969.6,"6"
2018-11-14,2018,"Nov",11,14,7.7,0,1,6.7,0,0,7.7,6.7,27.5,57957.1,"6"
2018-11-13,2018,"Nov",11,13,15.4,10.5,0.6,4.3,0,0,15.4,11.8,31.6,57941.9,"6"
2018-11-12,2018,"Nov",11,12,13.9,10.5,0.4,3,0,45.1,-31.2,18.4,35.1,57911.5,"6"
2018-11-11,2018,"Nov",11,11,36.5,20.9,8.2,7.3,0,28.2,8.3,34.3,43.8,57973.2,"6"
2018-11-10,2018,"Nov",11,10,33.2,18.3,8.2,6.7,0,0,33.2,43.6,47.6,57956.7,"6"
2018-11-09,2018,"Nov",11,9,33.2,18.3,8.2,6.7,0,0,33.2,48.4,41.6,57891,"6"
2018-11-08,2018,"Nov",11,8,48.8,26.2,13.5,9.1,0,0.6,48.2,51.4,42.5,57825.3,"6"
2018-11-07,2018,"Nov",11,7,48.8,26.2,13.5,9.1,0,0,48.8,51.8,45,57729.8,"6"
2018-11-06,2018,"Nov",11,6,54.7,28.8,16.1,9.7,0,0,54.7,53.3,48,57633.1,"6"
2018-11-05,2018,"Nov",11,5,57.1,28.8,18.5,9.7,0,0,57.1,51.6,50.1,57524.9,"6"
2018-11-04,2018,"Nov",11,4,48,23.6,15.9,8.5,0,0,48,34.7,51.4,57411.8,"6"
2018-11-03,2018,"Nov",11,3,50.4,23.6,18.4,8.5,0,0,50.4,33.6,53.2,57316.9,"6"
2018-11-02,2018,"Nov",11,2,56.3,26.2,20.9,9.1,0,0,56.3,38.2,36.9,57217,"6"
2018-11-01,2018,"Nov",11,1,46.4,20.9,18.2,7.3,0,0,46.4,42.8,-2.5,57105.6,"6"
2018-10-31,2018,"Oct",10,31,30.8,13.1,12.9,4.9,0,58.2,-27.4,48.7,-0.1,57013.8,"6"
2018-10-30,2018,"Oct",10,30,58.7,26.2,23.4,9.1,0,16.4,42.3,68,10.1,57068.1,"6"
2018-10-29,2018,"Oct",10,29,73.3,31.4,31,10.9,0,0,73.3,72.8,13.3,56984.4,"6"
2018-10-28,2018,"Oct",10,28,79.3,34.1,33.6,11.6,0,0,79.3,35.6,14.3,56839.2,"6"
2018-10-27,2018,"Oct",10,27,75.9,31.4,33.5,10.9,0,0,75.9,-47.7,10.5,56682.2,"6"
2018-10-26,2018,"Oct",10,26,69.4,28.8,30.8,9.7,0,0,69.4,-48.9,7.1,56532,"6"
2018-10-25,2018,"Oct",10,25,66.1,26.2,30.7,9.1,0,0,66.1,-47.9,0.4,56394.6,"6"
2018-10-24,2018,"Oct",10,24,53.8,20.9,25.6,7.3,0,166.4,-112.6,-46.2,-4.8,56263.8,"6"
2018-10-23,2018,"Oct",10,23,48,18.3,23,6.7,0,385.4,-337.3,-7,-11.4,56486.8,"6"
2018-10-22,2018,"Oct",10,22,74.4,28.8,35.8,9.7,0,4.2,70.2,68.7,29.4,57154.7,"6"
2018-10-21,2018,"Oct",10,21,74.4,28.8,35.8,9.7,0,0,74.4,63,29.2,57015.7,"6"
2018-10-20,2018,"Oct",10,20,74.4,28.8,35.8,9.7,0,0,74.4,48.7,30.1,56868.5,"6"
2018-10-19,2018,"Oct",10,19,83.3,31.4,40.9,10.9,0,0,83.3,36.6,31.6,56721.2,"6"
2018-10-18,2018,"Oct",10,18,41.5,15.7,20.4,5.5,0,0,41.5,-15.8,28.4,56556.3,"6"
2018-10-17,2018,"Oct",10,17,41.5,15.7,20.4,5.5,0,0,41.5,-9.9,27,56474.1,"6"
2018-10-16,2018,"Oct",10,16,41.5,15.7,20.4,5.5,0,39,2.6,-4.5,19,56391.8,"6"
2018-10-15,2018,"Oct",10,15,32.6,13.1,15.3,4.3,0,18.8,13.8,11.6,28.3,56386.7,"6"
2018-10-14,2018,"Oct",10,14,62.7,23.6,30.6,8.5,0,241.4,-178.7,26.7,39.7,56359.4,"6"
2018-10-13,2018,"Oct",10,13,83.3,31.4,40.9,10.9,0,12.3,71,72.6,69.1,56713.2,"6"
2018-10-12,2018,"Oct",10,12,68.6,26.2,33.2,9.1,0,0,68.6,63.9,72.7,56572.5,"6"
2018-10-11,2018,"Oct",10,11,83.3,31.4,40.9,10.9,0,0,83.3,42.6,69.9,56436.8,"6"
2018-10-10,2018,"Oct",10,10,89.1,34.1,43.5,11.5,0,0,89.1,45,67.4,56271.8,"6"
2018-10-09,2018,"Oct",10,9,74.4,28.8,35.8,9.7,0,23.4,51,52.7,70.7,56095.3,"6"
2018-10-08,2018,"Oct",10,8,68.6,26.2,33.2,9.1,0,41,27.5,65.6,78.3,55994.3,"6"
2018-10-07,2018,"Oct",10,7,89.1,34.1,43.5,11.5,0,127.1,-37.9,81.5,89.6,55939.8,"6"
2018-10-06,2018,"Oct",10,6,95,36.7,46.2,12.2,0,0,95,97.2,106.1,56014.9,"6"
2018-10-05,2018,"Oct",10,5,127.7,49.8,61.5,16.4,0,0,127.7,89.8,106,55826.8,"6"
2018-10-04,2018,"Oct",10,4,115.5,44.6,56.3,14.6,0,0,115.5,88.7,105.1,55574,"6"
2018-10-03,2018,"Oct",10,3,107.2,42,51.3,14,0,0,107.2,91.1,107.4,55345.3,"6"
2018-10-02,2018,"Oct",10,2,107.2,42,51.3,14,0,66.6,40.6,97.7,108.8,55133.1,"6"
2018-10-01,2018,"Oct",10,1,95,36.7,46.2,12.2,0,37,58.1,115.1,115.4,55052.6,"6"
2018-09-30,2018,"Sep",9,30,121.9,47.2,58.9,15.8,0,0,121.9,122.2,121.2,54937.7,"6"
2018-09-29,2018,"Sep",9,29,127.7,49.8,61.5,16.4,0,0,127.7,121.4,100.4,54696.2,"6"
2018-09-28,2018,"Sep",9,28,140,55.1,66.7,18.2,0,0,140,123.8,84.6,54443.4,"6"
2018-09-27,2018,"Sep",9,27,127.7,49.8,61.5,16.4,0,0,127.7,120,86.6,54166.2,"6"
2018-09-26,2018,"Sep",9,26,95,36.7,46.2,12.2,0,1.1,93.9,115.8,87.8,53913.3,"6"
2018-09-25,2018,"Sep",9,25,127.7,49.8,61.5,16.4,0,9.7,118,120.1,91.8,53727.5,"6"
2018-09-24,2018,"Sep",9,24,139.3,55.1,66.6,17.6,0,0,139.3,79.4,96,53493.9,"6"
2018-09-23,2018,"Sep",9,23,121.2,47.2,58.8,15.2,0,0,121.2,45.5,98.1,53218,"6"
2018-09-22,2018,"Sep",9,22,106.5,42,51.2,13.4,0,0,106.5,53.2,101.4,52978,"6"
2018-09-21,2018,"Sep",9,21,115.5,44.6,56.3,14.6,0,0,115.5,59.7,106.2,52767.1,"6"
2018-09-20,2018,"Sep",9,20,106.5,42,51.2,13.4,0,192.1,-85.6,63.4,110.1,52538.5,"6"
2018-09-19,2018,"Sep",9,19,127,49.8,61.4,15.8,0,157.3,-30.3,112.6,134.7,52708,"6"
2018-09-18,2018,"Sep",9,18,159.9,62.9,76.9,20.1,0,0,159.9,150.7,151.7,52768,"6"
2018-09-17,2018,"Sep",9,17,139.3,55.1,66.6,17.6,0,0,139.3,149.7,150.6,52451.5,"6"
2018-09-16,2018,"Sep",9,16,133.8,53.4,64,16.4,0,0,133.8,152.7,149.8,52175.6,"6"
