"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1","Reach"
2018-12-11,2018,"Dec",12,11,5.5,0,0.9,4.6,0,0,5.5,4.4,4,51370.5,"7"
2018-12-10,2018,"Dec",12,10,5.5,0,0.9,4.6,0,0,5.5,4.4,4,51359.6,"7"
2018-12-09,2018,"Dec",12,9,4.8,0,0.8,4,0,0,4.8,4.4,3.9,51348.6,"7"
2018-12-08,2018,"Dec",12,8,4.8,0,0.8,4,0,2.1,2.8,4.4,4.1,51339.1,"7"
2018-12-07,2018,"Dec",12,7,3.4,0,0.6,2.9,0,0,3.4,4.8,4.6,51333.6,"7"
2018-12-06,2018,"Dec",12,6,5.5,0,0.9,4.6,0,0,5.5,3.5,4.8,51326.8,"7"
2018-12-05,2018,"Dec",12,5,5.5,0,0.9,4.6,0,0,5.5,3.5,4.8,51315.9,"7"
2018-12-04,2018,"Dec",12,4,4.8,0,0.8,4,0,0,4.8,3.3,4.8,51305,"7"
2018-12-03,2018,"Dec",12,3,4.8,0,0.8,4,0,0,4.8,3.9,5.1,51295.4,"7"
2018-12-02,2018,"Dec",12,2,4.8,0,0.8,4,0,8,-3.1,4.4,5.2,51285.8,"7"
2018-12-01,2018,"Dec",12,1,5.5,0,0.9,4.6,0,0,5.5,6.1,6.2,51292.1,"7"
2018-11-30,2018,"Nov",11,30,4.8,0,0.8,4,0,0.2,4.6,6.1,6.2,51281.1,"7"
2018-11-29,2018,"Nov",11,29,7.5,0,1.2,6.3,0,0,7.5,6.3,6.4,51272,"7"
2018-11-28,2018,"Nov",11,28,7.6,0,1.2,6.3,0,0,7.6,6.3,6.3,51257.1,"7"
2018-11-27,2018,"Nov",11,27,5.5,0,0.9,4.6,0,0,5.5,6.1,6.3,51242.1,"7"
2018-11-26,2018,"Nov",11,26,5.5,0,0.9,4.6,0,0,5.5,6.2,6.5,51231.2,"7"
2018-11-25,2018,"Nov",11,25,5.5,0,0.9,4.6,0,0,5.5,6.3,6.7,51220.3,"7"
2018-11-24,2018,"Nov",11,24,7.6,0,1.2,6.3,0,0,7.6,6.5,6.9,51209.5,"7"
2018-11-23,2018,"Nov",11,23,6.2,0,1,5.2,0,0,6.2,6.2,6.9,51194.5,"7"
2018-11-22,2018,"Nov",11,22,6.2,0,1,5.2,0,0,6.2,6.5,8.7,51182.2,"7"
2018-11-21,2018,"Nov",11,21,6.2,0,1,5.2,0,0,6.2,6.8,7.7,51169.9,"7"
2018-11-20,2018,"Nov",11,20,6.2,0,1,5.2,0,0,6.2,7,9.4,51157.6,"7"
2018-11-19,2018,"Nov",11,19,6.2,0,1,5.2,0,0,6.2,7.3,12.3,51145.3,"7"
2018-11-18,2018,"Nov",11,18,7.6,0,1.2,6.4,0,0,7.6,7.6,15.3,51133,"7"
2018-11-17,2018,"Nov",11,17,7.6,0,1.2,6.3,0,0,7.6,10.9,19,51118,"7"
2018-11-16,2018,"Nov",11,16,7.6,0,1.2,6.3,0,0,7.6,8.6,23.4,51103,"7"
2018-11-15,2018,"Nov",11,15,7.6,0,1.2,6.3,0,0,7.6,11.7,28,51088,"7"
2018-11-14,2018,"Nov",11,14,7.6,0,1.2,6.3,0,0,7.6,17.4,32.5,51073,"7"
2018-11-13,2018,"Nov",11,13,24.2,15.3,4.3,4.6,0,0,24.2,23.1,36.8,51058,"7"
2018-11-12,2018,"Nov",11,12,17.2,12.2,2.2,2.9,0,21.3,-4.1,27.1,39.5,51010.1,"7"
2018-11-11,2018,"Nov",11,11,29.8,18.3,6.3,5.2,0,6.6,23.2,38.2,45,51018.2,"7"
2018-11-10,2018,"Nov",11,10,36,21.3,8.3,6.3,0,0,36,44.2,47.4,50972.3,"7"
2018-11-09,2018,"Nov",11,9,36,21.3,8.3,6.3,0,0,36,47.7,36,50901,"7"
2018-11-08,2018,"Nov",11,8,46,27.4,10.5,8.1,0,1.7,44.3,50.5,33.3,50829.7,"7"
2018-11-07,2018,"Nov",11,7,51.5,30.5,12.4,8.6,0,0,51.5,51.9,35.5,50741.9,"7"
2018-11-06,2018,"Nov",11,6,53.4,30.5,14.3,8.6,0,0,53.4,51.9,38.2,50640,"7"
2018-11-05,2018,"Nov",11,5,53.4,30.5,14.3,8.7,0,0,53.4,50.6,40.3,50534.3,"7"
2018-11-04,2018,"Nov",11,4,49.7,27.5,14.2,8.1,0,0,49.7,24.3,41.2,50428.5,"7"
2018-11-03,2018,"Nov",11,3,51.4,27.5,15.9,8,0,0,51.4,16.2,42.6,50330.1,"7"
2018-11-02,2018,"Nov",11,2,51.4,27.5,15.9,8,0,0,51.4,19.2,31.8,50228.3,"7"
2018-11-01,2018,"Nov",11,1,47.1,24.5,15.7,6.9,0,0,47.1,24.5,-3,50126.4,"7"
2018-10-31,2018,"Oct",10,31,35.3,18.4,11.7,5.2,0,113.6,-78.4,30,-2.9,50033.2,"7"
2018-10-30,2018,"Oct",10,30,53.4,27.5,17.8,8.1,0,43.9,9.5,58.2,11.3,50188.4,"7"
2018-10-29,2018,"Oct",10,29,66.3,33.7,23.4,9.2,0,0,66.3,69,17.4,50169.5,"7"
2018-10-28,2018,"Oct",10,28,78.2,39.7,27.5,10.9,0,0,78.2,44.4,18.6,50038.2,"7"
2018-10-27,2018,"Oct",10,27,74.4,36.7,27.4,10.4,0,0,74.4,-30.5,14.6,49883.5,"7"
2018-10-26,2018,"Oct",10,26,62.5,30.6,23.3,8.6,0,0,62.5,-35.9,11.1,49736.2,"7"
2018-10-25,2018,"Oct",10,25,64.4,30.6,25.1,8.7,0,0.9,63.4,-35.5,5.9,49612.4,"7"
2018-10-24,2018,"Oct",10,24,52.7,24.5,21.3,6.9,0,109.3,-56.6,-34.2,1,49486.8,"7"
2018-10-23,2018,"Oct",10,23,36.4,18.4,13.5,4.6,0,332.7,-296.2,-7.3,1.1,49598.8,"7"
